IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
58.39.14.100,9999,透明,HTTP,上海市,3秒,2015-03-18 00:30:29,
163.125.19.122,8888,透明,HTTP,广东省 深圳市,0.7秒,2015-03-17 23:30:56,
49.93.10.184,80,透明,HTTP,江苏省 南京市,0.9秒,2015-03-17 22:31:00,
111.192.59.122,9000,透明,HTTP,北京市,3秒,2015-03-17 21:30:53,
112.95.25.92,9797,透明,HTTP,广东省 深圳市,3秒,2015-03-17 20:30:53,
125.85.41.228,80,透明,HTTP,重庆市,1秒,2015-03-17 19:31:01,
119.137.32.129,9797,透明,HTTP,广东省 深圳市,1秒,2015-03-17 18:30:49,
49.94.25.103,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-17 17:30:58,
49.94.3.157,80,透明,HTTP,江苏省 南京市,2秒,2015-03-17 16:31:01,
113.141.134.193,3128,透明,HTTP,陕西省 西安市,3秒,2015-03-17 15:30:30,
113.140.101.169,80,透明,HTTP,陕西省 西安市,3秒,2015-03-17 14:30:57,
36.42.147.187,3128,透明,HTTP,陕西省 西安市,1秒,2015-03-17 13:30:50,
218.28.196.98,8080,透明,HTTP,河南省 郑州市,3秒,2015-03-17 12:30:59,
183.11.139.72,9000,透明,HTTP,广东省 深圳市,3秒,2015-03-17 11:30:45,
49.93.36.109,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-17 10:30:55,
219.131.208.165,9999,透明,HTTP,广东省 珠海市,2秒,2015-03-17 09:31:01,
110.176.174.160,3128,透明,HTTP,山西省 太原市,2秒,2015-03-17 08:31:00,
220.198.104.101,9999,透明,HTTP,广东省 湛江市,2秒,2015-03-17 07:31:01,
119.127.230.143,9797,透明,HTTP,广东省 东莞市,0.9秒,2015-03-17 06:30:31,
163.125.200.21,9999,透明,HTTP,广东省 深圳市,3秒,2015-03-17 05:31:00,
183.184.210.29,9797,透明,HTTP,山西省 太原市,0.8秒,2015-03-17 04:30:42,
58.60.102.125,9797,透明,HTTP,广东省 深圳市,0.6秒,2015-03-17 03:30:47,
210.28.96.54,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-17 02:31:01,
114.249.236.132,9000,透明,HTTP,北京市,2秒,2015-03-17 01:30:33,
36.224.216.14,8080,透明,HTTP,台湾省,3秒,2015-03-17 00:31:01,
49.93.215.253,80,透明,HTTP,江苏省 南京市,2秒,2015-03-16 23:31:01,
183.31.248.201,9797,透明,HTTP,广东省 珠海市,3秒,2015-03-16 22:30:25,
113.87.129.7,9000,透明,HTTP,广东省 深圳市,0.8秒,2015-03-16 21:31:00,
113.140.110.173,80,透明,HTTP,陕西省 西安市,2秒,2015-03-16 20:30:55,
117.37.237.212,80,透明,HTTP,陕西省 西安市,0.6秒,2015-03-16 19:30:47,
49.91.36.30,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-16 18:30:52,
49.91.36.253,3128,透明,HTTP,江苏省 南京市,0.3秒,2015-03-16 17:31:00,
114.83.103.226,9797,透明,HTTP,上海市,1秒,2015-03-16 16:30:59,
49.90.18.225,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-16 15:31:00,
49.90.24.200,3128,透明,HTTP,江苏省 南京市,0.7秒,2015-03-16 14:30:51,
49.93.206.114,80,透明,HTTP,江苏省 南京市,1秒,2015-03-16 13:31:01,
49.94.35.167,80,透明,HTTP,江苏省 南京市,0.9秒,2015-03-16 12:30:49,
27.38.158.50,9000,透明,HTTP,广东省 深圳市,1秒,2015-03-16 10:31:01,
49.94.1.139,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-16 09:30:49,
117.37.233.90,80,透明,HTTP,陕西省 西安市,3秒,2015-03-16 08:30:58,
49.94.156.56,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-16 07:31:00,
49.94.36.24,3128,透明,HTTP,江苏省 南京市,0.6秒,2015-03-16 06:30:46,
49.93.30.136,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-16 05:30:57,
49.94.131.48,80,透明,HTTP,江苏省 南京市,1.0秒,2015-03-16 04:31:00,
113.109.115.182,9797,透明,HTTP,广东省 广州市,2秒,2015-03-16 03:30:49,
49.94.24.204,80,透明,HTTP,江苏省 南京市,0.8秒,2015-03-16 02:31:01,
58.251.168.231,9999,透明,HTTP,广东省 深圳市,3秒,2015-03-16 01:30:38,
49.94.137.161,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-16 00:30:46,
59.39.132.124,9797,透明,HTTP,广东省 惠州市,2秒,2015-03-15 23:30:48,
117.89.112.253,9999,透明,HTTP,江苏省 南京市,1秒,2015-03-15 22:31:01,
49.94.28.208,80,透明,HTTP,江苏省 南京市,2秒,2015-03-15 21:30:59,
125.92.187.12,9797,透明,HTTP,广东省 中山市,2秒,2015-03-15 20:30:33,
112.95.205.52,8888,透明,HTTP,广东省 深圳市,1秒,2015-03-15 19:31:01,
163.125.214.166,9999,透明,HTTP,广东省 深圳市,3秒,2015-03-15 18:30:51,
117.10.24.82,9797,透明,HTTP,天津市,0.7秒,2015-03-15 17:31:01,
49.90.37.4,80,透明,HTTP,江苏省 南京市,1秒,2015-03-15 16:30:41,
183.41.6.1,3128,透明,HTTP,广东省 广州市,2秒,2015-03-15 15:30:54,
49.94.150.26,80,透明,HTTP,江苏省 南京市,3秒,2015-03-15 14:30:51,
119.186.82.108,9797,透明,HTTP,山东省 日照市,0.8秒,2015-03-15 13:30:51,
117.37.240.18,80,透明,HTTP,陕西省 西安市,1秒,2015-03-15 12:30:59,
14.26.169.120,3128,透明,HTTP,广东省 广州市,3秒,2015-03-15 11:30:23,
163.125.215.97,9000,透明,HTTP,广东省 深圳市,1秒,2015-03-15 10:30:59,
49.94.137.164,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-15 09:30:45,
183.32.76.191,9999,透明,HTTP,广东省 中山市,2秒,2015-03-15 08:31:00,
49.91.45.234,3128,透明,HTTP,江苏省 南京市,0.9秒,2015-03-15 07:31:00,
58.251.169.192,9797,透明,HTTP,广东省 深圳市,0.9秒,2015-03-15 06:31:00,
183.25.210.192,9797,透明,HTTP,广东省 惠州市,3秒,2015-03-15 05:30:47,
121.33.221.67,9797,透明,HTTP,广东省 广州市,1秒,2015-03-15 04:30:59,
183.62.58.250,9797,透明,HTTP,广东省 广州市,3秒,2015-03-15 03:31:01,
112.95.205.81,8888,透明,HTTP,广东省 深圳市,2秒,2015-03-15 02:31:00,
112.95.72.181,9797,透明,HTTP,广东省 深圳市,3秒,2015-03-15 01:30:57,
61.144.68.100,9797,透明,HTTP,广东省 广州市,2秒,2015-03-15 00:31:01,
49.94.150.4,3128,透明,HTTP,江苏省 南京市,0.9秒,2015-03-14 23:31:00,
121.31.112.92,9999,透明,HTTP,广西壮族自治区桂林市,1秒,2015-03-14 22:30:59,
113.118.222.214,9999,透明,HTTP,广东省 深圳市,2秒,2015-03-14 21:30:55,
163.125.18.96,8888,透明,HTTP,广东省 深圳市,3秒,2015-03-14 20:31:00,
58.251.170.167,9999,透明,HTTP,广东省 深圳市,1秒,2015-03-14 19:30:44,
183.42.27.253,3128,透明,HTTP,广东省 广州市,1秒,2015-03-14 18:31:00,
49.94.165.103,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-14 17:30:56,
222.89.253.175,9999,透明,HTTP,河南省 商丘市,3秒,2015-03-14 16:31:01,
117.10.24.90,9999,透明,HTTP,天津市,2秒,2015-03-14 15:30:40,
221.193.255.18,9797,透明,HTTP,河北省 邯郸市,0.9秒,2015-03-14 14:31:04,
49.94.160.5,80,透明,HTTP,江苏省 南京市,3秒,2015-03-14 13:30:55,
113.141.130.70,3128,透明,HTTP,陕西省 西安市,1.0秒,2015-03-14 12:30:53,
49.94.10.14,80,透明,HTTP,江苏省 南京市,2秒,2015-03-14 11:31:00,
49.90.13.227,3128,透明,HTTP,江苏省 南京市,0.4秒,2015-03-14 10:31:02,
222.128.181.172,9000,透明,HTTP,北京市,1秒,2015-03-14 09:30:42,
49.91.4.46,80,透明,HTTP,江苏省 南京市,1秒,2015-03-14 08:31:00,
49.90.31.111,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-14 07:30:35,
49.91.3.23,80,透明,HTTP,江苏省 南京市,3秒,2015-03-14 06:30:42,
49.94.11.34,80,透明,HTTP,江苏省 南京市,2秒,2015-03-14 05:30:59,
106.44.132.160,9797,透明,HTTP,陕西省 西安市,3秒,2015-03-14 04:30:36,
119.127.224.250,9797,透明,HTTP,广东省 东莞市,2秒,2015-03-14 03:30:11,
115.197.229.172,9797,透明,HTTP,浙江省 杭州市,1秒,2015-03-14 02:30:48,
123.55.38.143,9999,透明,HTTP,河南省 平顶山市,2秒,2015-03-14 01:31:01,
49.91.3.198,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-14 00:30:42,
106.58.84.147,80,透明,HTTP,云南省 昆明市,0.3秒,2015-03-13 23:30:27,
182.44.134.0,9000,透明,HTTP,山东省 东营市,3秒,2015-03-13 22:30:43,
27.46.23.149,8888,透明,HTTP,广东省 深圳市,1.0秒,2015-03-13 21:30:36,
120.9.179.110,9999,透明,HTTP,河北省 邯郸市,3秒,2015-03-13 20:30:44,
27.46.23.226,8888,透明,HTTP,广东省 深圳市,0.3秒,2015-03-13 19:31:01,
171.9.211.54,80,透明,HTTP,河南省 郑州市,2秒,2015-03-13 18:31:01,
49.90.12.82,80,透明,HTTP,江苏省 南京市,0.4秒,2015-03-13 17:31:02,
117.39.178.239,3128,透明,HTTP,陕西省 西安市,3秒,2015-03-13 16:31:00,
106.34.152.16,80,透明,HTTP,河南省 郑州市,1秒,2015-03-13 15:30:46,
223.15.91.223,80,透明,HTTP,山西省 太原市,2秒,2015-03-13 14:30:55,
106.58.158.22,80,透明,HTTP,云南省 昆明市,1秒,2015-03-13 13:31:01,
106.58.124.220,80,透明,HTTP,云南省 昆明市,1.0秒,2015-03-13 12:31:01,
163.125.17.81,8888,透明,HTTP,广东省 深圳市,3秒,2015-03-13 11:30:51,
49.91.3.104,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-13 10:30:52,
49.91.34.221,80,透明,HTTP,江苏省 南京市,3秒,2015-03-13 09:31:01,
106.41.249.224,80,透明,HTTP,吉林省 长春市,2秒,2015-03-13 08:30:55,
49.90.10.26,80,透明,HTTP,江苏省 南京市,3秒,2015-03-13 07:31:01,
113.140.109.200,80,透明,HTTP,陕西省 西安市,3秒,2015-03-13 06:31:01,
116.25.5.82,9000,透明,HTTP,广东省 深圳市,1秒,2015-03-13 05:30:31,
113.118.25.159,9999,透明,HTTP,广东省 深圳市,0.9秒,2015-03-13 04:30:31,
113.118.25.159,9999,透明,HTTP,广东省 深圳市,2秒,2015-03-13 03:30:53,
222.222.251.131,9797,透明,HTTP,河北省 邯郸市,3秒,2015-03-13 02:30:41,
163.125.116.236,9797,透明,HTTP,广东省 深圳市,2秒,2015-03-13 01:30:34,
14.114.245.119,9797,透明,HTTP,广东省 中山市,2秒,2015-03-13 00:31:01,
163.125.211.11,9999,透明,HTTP,广东省 深圳市,0.3秒,2015-03-12 23:30:57,
49.90.22.251,80,透明,HTTP,江苏省 南京市,3秒,2015-03-12 22:30:49,
113.141.130.187,80,透明,HTTP,陕西省 西安市,3秒,2015-03-12 21:30:35,
49.94.158.60,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-12 20:30:52,
121.33.221.146,9797,透明,HTTP,广东省 广州市,3秒,2015-03-12 19:31:01,
221.226.86.204,80,透明,HTTP,江苏省 南京市,3秒,2015-03-12 18:31:01,
49.91.22.209,80,透明,HTTP,江苏省 南京市,1秒,2015-03-12 17:30:45,
113.141.129.113,3128,透明,HTTP,陕西省 西安市,3秒,2015-03-12 16:30:58,
106.58.137.219,80,透明,HTTP,云南省 昆明市,1.0秒,2015-03-12 15:30:51,
36.42.140.137,80,透明,HTTP,陕西省 西安市,1秒,2015-03-12 14:30:55,
49.91.45.176,3128,透明,HTTP,江苏省 南京市,0.8秒,2015-03-12 13:30:59,
163.125.158.204,8888,透明,HTTP,广东省 深圳市,0.4秒,2015-03-12 12:31:00,
49.94.165.179,80,透明,HTTP,江苏省 南京市,3秒,2015-03-12 11:31:01,
49.93.233.39,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-12 10:31:02,
106.125.67.93,80,透明,HTTP,内蒙古,2秒,2015-03-12 09:31:01,
49.91.37.247,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-12 08:30:52,
120.39.78.53,9999,透明,HTTP,福建省 厦门市,0.8秒,2015-03-12 07:30:57,
49.93.229.104,80,透明,HTTP,江苏省 南京市,2秒,2015-03-12 06:31:01,
123.55.38.143,9999,透明,HTTP,河南省 平顶山市,3秒,2015-03-12 05:30:57,
14.24.207.132,3128,透明,HTTP,广东省 广州市,3秒,2015-03-12 04:30:58,
1.181.54.135,3128,透明,HTTP,内蒙古,1秒,2015-03-12 03:30:40,
124.115.211.30,9797,透明,HTTP,陕西省 咸阳市,3秒,2015-03-12 02:30:37,
119.122.106.155,9797,透明,HTTP,广东省 深圳市,0.9秒,2015-03-12 01:30:30,
14.211.132.150,9797,透明,HTTP,广东省 佛山市,1秒,2015-03-12 00:31:00,
116.20.224.94,9999,透明,HTTP,广东省 佛山市,1秒,2015-03-11 23:30:36,
113.247.192.247,9797,透明,HTTP,湖南省 长沙市,3秒,2015-03-11 22:31:01,
113.27.162.29,3128,透明,HTTP,山西省 太原市,3秒,2015-03-11 21:30:52,
49.94.2.93,80,透明,HTTP,江苏省 南京市,2秒,2015-03-11 20:30:47,
106.58.215.131,80,透明,HTTP,云南省 昆明市,2秒,2015-03-11 19:31:01,
123.116.113.17,9999,透明,HTTP,北京市,3秒,2015-03-11 18:31:01,
49.94.17.172,3128,透明,HTTP,江苏省 南京市,0.8秒,2015-03-11 17:31:01,
49.90.32.134,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-11 16:30:58,
49.91.2.21,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-11 15:30:56,
183.42.39.79,3128,透明,HTTP,广东省 广州市,1秒,2015-03-11 14:30:55,
106.33.31.255,80,透明,HTTP,河南省 郑州市,2秒,2015-03-11 13:30:55,
183.49.56.217,9797,透明,HTTP,广东省 深圳市,0.3秒,2015-03-11 12:31:00,
49.93.10.184,80,透明,HTTP,江苏省 南京市,2秒,2015-03-11 11:31:00,
49.94.5.52,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-11 10:30:58,
49.91.30.47,80,透明,HTTP,江苏省 南京市,3秒,2015-03-11 09:30:54,
49.93.213.241,80,透明,HTTP,江苏省 南京市,2秒,2015-03-11 08:30:48,
36.42.141.159,80,透明,HTTP,陕西省 西安市,3秒,2015-03-11 07:31:01,
49.93.194.3,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-11 06:30:59,
49.94.23.126,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-11 05:30:59,
36.42.141.96,80,透明,HTTP,陕西省 西安市,3秒,2015-03-11 04:31:00,
183.31.249.180,9797,透明,HTTP,广东省 珠海市,2秒,2015-03-11 03:31:00,
163.125.211.112,9999,透明,HTTP,广东省 深圳市,2秒,2015-03-11 02:30:39,
49.90.18.81,80,透明,HTTP,江苏省 南京市,1.0秒,2015-03-11 01:30:51,
124.115.211.30,9999,透明,HTTP,陕西省 咸阳市,3秒,2015-03-11 00:31:00,
183.23.65.98,9999,透明,HTTP,广东省 东莞市,1秒,2015-03-10 23:30:46,
125.93.168.165,9797,透明,HTTP,广东省 东莞市,1秒,2015-03-10 22:30:55,
121.13.242.2,9797,透明,HTTP,广东省 东莞市,0.8秒,2015-03-10 21:31:01,
183.207.228.122,80,透明,HTTP,江苏省,2秒,2015-03-10 20:31:01,
49.93.31.28,3128,透明,HTTP,江苏省 南京市,0.7秒,2015-03-10 19:30:57,
123.170.254.5,9999,透明,HTTP,山东省 滨州市,1秒,2015-03-10 18:30:53,
49.93.197.205,80,透明,HTTP,江苏省 南京市,3秒,2015-03-10 17:30:57,
49.94.145.29,80,透明,HTTP,江苏省 南京市,2秒,2015-03-10 16:30:36,
49.94.36.157,3128,透明,HTTP,江苏省 南京市,0.9秒,2015-03-10 15:31:01,
106.58.184.27,80,透明,HTTP,云南省 昆明市,2秒,2015-03-10 14:31:01,
49.93.36.105,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-10 13:31:02,
49.93.8.41,80,透明,HTTP,江苏省 南京市,1秒,2015-03-10 12:30:45,
36.41.43.22,3128,透明,HTTP,陕西省 西安市,0.4秒,2015-03-10 11:31:02,
14.26.25.14,3128,透明,HTTP,广东省 广州市,1秒,2015-03-10 10:30:53,
14.211.157.230,9999,透明,HTTP,广东省 佛山市,1秒,2015-03-10 09:31:01,
49.91.32.249,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-10 08:30:56,
110.176.223.121,80,透明,HTTP,山西省 太原市,2秒,2015-03-10 07:30:55,
117.39.169.126,80,透明,HTTP,陕西省 西安市,2秒,2015-03-10 06:31:01,
49.93.227.126,3128,透明,HTTP,江苏省 南京市,0.4秒,2015-03-10 05:30:35,
220.198.105.7,9999,透明,HTTP,广东省 湛江市,3秒,2015-03-10 04:30:57,
59.48.101.198,9797,透明,HTTP,山西省 晋中市,2秒,2015-03-10 03:30:42,
218.18.113.223,8080,透明,HTTP,广东省 深圳市,1秒,2015-03-10 02:30:29,
113.87.223.215,9797,透明,HTTP,广东省 深圳市,2秒,2015-03-10 01:30:11,
113.242.35.208,9797,透明,HTTP,湖南省 益阳市,1秒,2015-03-10 00:30:50,
113.127.111.115,80,透明,HTTP,山东省 济南市,2秒,2015-03-09 23:30:59,
106.58.217.245,80,透明,HTTP,云南省 昆明市,3秒,2015-03-09 22:30:20,
36.61.245.200,80,透明,HTTP,安徽省 合肥市,0.8秒,2015-03-09 21:30:42,
117.39.168.151,80,透明,HTTP,陕西省 西安市,1秒,2015-03-09 20:31:00,
58.63.20.110,9797,透明,HTTP,广东省 广州市,2秒,2015-03-09 19:30:32,
163.125.219.158,9999,透明,HTTP,广东省 深圳市,0.6秒,2015-03-09 18:30:53,
42.97.39.205,80,透明,HTTP,吉林省 长春市,0.8秒,2015-03-09 17:31:01,
121.31.112.76,9797,透明,HTTP,广西壮族自治区桂林市,1秒,2015-03-09 16:30:58,
106.34.14.83,80,透明,HTTP,河南省 郑州市,3秒,2015-03-09 15:30:38,
106.60.2.30,80,透明,HTTP,云南省 昆明市,0.7秒,2015-03-09 14:31:00,
49.94.26.1,80,透明,HTTP,江苏省 南京市,1秒,2015-03-09 13:31:01,
163.125.18.56,8888,透明,HTTP,广东省 深圳市,2秒,2015-03-09 12:30:56,
49.94.150.223,80,透明,HTTP,江苏省 南京市,2秒,2015-03-09 11:30:52,
49.91.35.76,80,透明,HTTP,江苏省 南京市,1秒,2015-03-09 10:31:01,
49.93.31.65,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-09 09:30:56,
49.94.30.240,80,透明,HTTP,江苏省 南京市,1秒,2015-03-09 08:30:49,
163.125.219.71,9999,透明,HTTP,广东省 深圳市,0.4秒,2015-03-09 07:30:59,
117.37.255.20,3128,透明,HTTP,陕西省 西安市,1.0秒,2015-03-09 06:30:49,
49.93.197.125,80,透明,HTTP,江苏省 南京市,2秒,2015-03-09 05:30:56,
163.125.146.154,9999,透明,HTTP,广东省 深圳市,1秒,2015-03-09 04:30:37,
112.95.204.34,8888,透明,HTTP,广东省 深圳市,1秒,2015-03-09 03:30:59,
61.155.169.177,3128,透明,HTTP,江苏省 苏州市,1秒,2015-03-09 02:31:01,
163.125.33.132,9000,透明,HTTP,广东省 深圳市,1秒,2015-03-09 01:30:53,
163.125.118.47,9999,透明,HTTP,广东省 深圳市,2秒,2015-03-09 00:30:27,
123.116.112.6,9999,透明,HTTP,北京市,2秒,2015-03-08 23:30:21,
116.7.170.112,9999,透明,HTTP,广东省 广州市,1秒,2015-03-08 22:30:45,
49.93.8.171,80,透明,HTTP,江苏省 南京市,3秒,2015-03-08 21:31:00,
49.91.33.248,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-08 20:30:46,
58.50.215.94,9797,透明,HTTP,湖北省 宜昌市,1秒,2015-03-08 19:30:46,
106.58.90.87,80,透明,HTTP,云南省 昆明市,2秒,2015-03-08 18:30:59,
49.90.33.226,80,透明,HTTP,江苏省 南京市,3秒,2015-03-08 17:30:50,
49.90.28.163,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-08 16:30:56,
171.118.184.198,9999,透明,HTTP,山西省 太原市,0.5秒,2015-03-08 15:30:59,
171.219.144.230,80,透明,HTTP,四川省 成都市,2秒,2015-03-08 14:30:37,
49.90.12.134,80,透明,HTTP,江苏省 南京市,3秒,2015-03-08 13:30:52,
49.94.19.66,80,透明,HTTP,江苏省 南京市,2秒,2015-03-08 12:31:00,
49.93.200.110,80,透明,HTTP,江苏省 南京市,2秒,2015-03-08 11:30:58,
49.94.5.36,80,透明,HTTP,江苏省 南京市,3秒,2015-03-08 10:30:58,
49.93.207.178,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-08 09:31:01,
49.94.138.7,80,透明,HTTP,江苏省 南京市,2秒,2015-03-08 08:30:58,
27.149.103.33,3128,透明,HTTP,福建省 福州市,1秒,2015-03-08 07:30:52,
163.125.194.249,9999,透明,HTTP,广东省 深圳市,1秒,2015-03-08 06:30:59,
106.34.110.75,80,透明,HTTP,河南省 郑州市,1秒,2015-03-08 05:30:57,
49.91.6.138,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-08 04:30:42,
119.60.53.125,9797,透明,HTTP,宁夏回族自治区银川市,0.5秒,2015-03-08 03:30:55,
163.125.19.38,8888,透明,HTTP,广东省 深圳市,0.5秒,2015-03-08 02:30:50,
171.116.94.159,9797,透明,HTTP,山西省 太原市,2秒,2015-03-08 01:30:34,
163.125.19.85,8888,透明,HTTP,广东省 深圳市,3秒,2015-03-08 00:31:01,
163.125.69.99,8888,透明,HTTP,广东省 深圳市,2秒,2015-03-07 23:30:28,
27.46.20.197,8888,透明,HTTP,广东省 深圳市,3秒,2015-03-07 22:30:50,
14.27.181.69,3128,透明,HTTP,广东省 广州市,1秒,2015-03-07 21:30:59,
118.81.70.130,9797,透明,HTTP,山西省 太原市,1秒,2015-03-07 20:30:58,
49.91.20.153,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-07 19:31:00,
113.140.109.248,80,透明,HTTP,陕西省 西安市,0.6秒,2015-03-07 18:30:40,
110.176.125.194,3128,透明,HTTP,山西省 太原市,0.3秒,2015-03-07 17:30:49,
49.90.14.79,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-07 16:31:01,
49.93.210.166,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-07 15:30:54,
49.94.37.188,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-07 14:30:52,
49.93.7.73,80,透明,HTTP,江苏省 南京市,3秒,2015-03-07 13:30:56,
125.94.36.153,9797,透明,HTTP,广东省 广州市,0.3秒,2015-03-07 12:31:00,
117.37.234.61,3128,透明,HTTP,陕西省 西安市,3秒,2015-03-07 11:30:40,
121.10.252.139,3128,透明,HTTP,广东省 肇庆市,3秒,2015-03-07 10:31:01,
116.252.26.6,8585,透明,HTTP,广西壮族自治区南宁市,2秒,2015-03-07 09:30:58,
49.93.200.122,80,透明,HTTP,江苏省 南京市,2秒,2015-03-07 08:30:54,
112.101.80.171,9797,透明,HTTP,黑龙江省 佳木斯市,1秒,2015-03-07 07:31:01,
49.93.202.153,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-07 06:31:01,
49.93.33.239,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-07 05:30:53,
49.93.205.17,80,透明,HTTP,江苏省 南京市,1秒,2015-03-07 04:31:00,
49.91.39.37,80,透明,HTTP,江苏省 南京市,2秒,2015-03-07 03:31:00,
183.45.110.184,9797,透明,HTTP,广东省 中山市,1秒,2015-03-07 02:30:40,
110.173.0.58,80,透明,HTTP,北京市,0.7秒,2015-03-07 01:30:59,
27.149.55.226,3128,透明,HTTP,福建省 福州市,3秒,2015-03-07 00:29:51,
49.90.29.113,3128,透明,HTTP,江苏省 南京市,3秒,2015-03-06 23:30:53,
14.25.255.111,3128,透明,HTTP,广东省 广州市,2秒,2015-03-06 22:30:54,
14.122.107.82,9000,透明,HTTP,广东省 深圳市,1秒,2015-03-06 21:31:00,
49.90.16.44,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-06 20:30:42,
49.91.3.150,80,透明,HTTP,江苏省 南京市,3秒,2015-03-06 19:31:01,
123.234.255.52,9999,透明,HTTP,山东省 青岛市,1秒,2015-03-06 18:31:00,
49.93.10.61,80,透明,HTTP,江苏省 南京市,3秒,2015-03-06 17:31:01,
117.37.240.94,80,透明,HTTP,陕西省 西安市,2秒,2015-03-06 16:30:45,
49.94.142.121,80,透明,HTTP,江苏省 南京市,3秒,2015-03-06 15:31:00,
49.93.19.106,80,透明,HTTP,江苏省 南京市,0.6秒,2015-03-06 14:31:00,
49.90.5.49,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-06 13:31:01,
106.58.223.182,80,透明,HTTP,云南省 昆明市,0.8秒,2015-03-06 12:30:47,
106.34.171.98,80,透明,HTTP,河南省 郑州市,3秒,2015-03-06 11:30:56,
115.223.83.44,8080,透明,HTTP,浙江省 温州市,1秒,2015-03-06 10:30:57,
49.94.11.33,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-06 09:30:54,
110.73.182.12,9000,透明,HTTP,广西壮族自治区来宾市,0.9秒,2015-03-06 08:31:01,
106.33.247.56,80,透明,HTTP,河南省 郑州市,3秒,2015-03-06 07:31:00,
49.90.33.236,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-06 06:30:59,
49.90.20.27,80,透明,HTTP,江苏省 南京市,1.0秒,2015-03-06 05:30:55,
14.218.221.13,9797,透明,HTTP,广东省 东莞市,3秒,2015-03-06 04:30:29,
120.197.53.196,9797,透明,HTTP,广东省 广州市,1秒,2015-03-06 03:30:36,
14.154.138.128,9797,透明,HTTP,广东省 深圳市,1秒,2015-03-06 02:30:58,
119.128.35.170,9797,透明,HTTP,广东省 东莞市,1秒,2015-03-06 01:30:32,
112.95.204.43,8888,透明,HTTP,广东省 深圳市,2秒,2015-03-06 00:30:22,
183.31.249.99,9797,透明,HTTP,广东省 珠海市,1秒,2015-03-05 23:31:00,
114.32.160.30,8080,透明,HTTP,台湾省,0.5秒,2015-03-05 22:30:54,
125.89.37.174,9797,透明,HTTP,广东省 珠海市,0.3秒,2015-03-05 21:30:59,
1.87.5.61,80,透明,HTTP,陕西省 西安市,1秒,2015-03-05 20:30:40,
121.8.89.58,9797,透明,HTTP,广东省 广州市,0.9秒,2015-03-05 19:31:00,
49.91.5.175,80,透明,HTTP,江苏省 南京市,1秒,2015-03-05 18:30:58,
106.60.84.144,80,透明,HTTP,云南省 昆明市,3秒,2015-03-05 17:30:56,
106.58.250.86,80,透明,HTTP,云南省 昆明市,0.9秒,2015-03-05 16:30:48,
182.206.10.244,80,透明,HTTP,辽宁省 沈阳市,3秒,2015-03-05 15:30:53,
202.105.56.218,9797,透明,HTTP,广东省 广州市,1秒,2015-03-05 14:30:48,
27.188.21.186,9797,透明,HTTP,河北省 邯郸市,0.5秒,2015-03-05 13:30:57,
49.93.0.179,80,透明,HTTP,江苏省 南京市,2秒,2015-03-05 12:30:59,
49.93.228.132,3128,透明,HTTP,江苏省 南京市,1秒,2015-03-05 11:30:51,
49.90.13.197,3128,透明,HTTP,江苏省 南京市,2秒,2015-03-05 10:30:59,
182.18.101.172,9999,透明,HTTP,北京市,3秒,2015-03-05 09:31:02,
36.43.129.56,80,透明,HTTP,陕西省 西安市,2秒,2015-03-05 08:30:52,
